,,,,,a,b,c = d / (1 - d),d,e = d / (1 + a),"f = e x 4,5%",g = d x 0%,h,i = -b,j = e + f + g + h + i,k = j / e,,,,,,,,,,,,,,,,,,,,,,,
T/C:,"1,500.00",,,,,,,PRECIO PROMO,POR UNIDAD,,,,,,,,MARGEN NEGOCIO,,,,,,,,,,,,,,,,,,,,,
,,,,SIN IVA,,SIN IVA,,25.00%,,4.50%,,,,,,,"1,587","17,122,767","1,370,090",8.0%,,,,,,,,,,,,,,,,,,
COD. UNPO,DESCRIPCION,CATEGORIA,KG,COTO UNIT TOTAL USD,%IVA,COTO UNIT AR$,% DESC.ADIC.,PRECIO 25% MENOR A LISTA MELI CON IVA,PRECIO SIN IVA,IIBB,COMISION,,COTO UNIT AR$,MARGEN AR$,%MARGEN,,UNIDADES,FACT AR$,MARGEN,%,,,,,,,,,,,,,,,,,ORIGEN,FAMILIA
010300017,LUNCHERA BOX RECTANGULAR,BAZAR,0.28,,21.0%,"5,376.66",30%,"10,080.00","8,330.58",(374.88),0.00,,"(5,376.66)","2,579",31.0%,,0,0.00,0,#¡DIV/0!,,,,,,,,,,,,,,,,,,
010600018,ALFOMBRA 40*60CM 41536,HOGAR,0.29,,21.0%,"3,134.15",,"6,675.00","5,516.53",(248.24),0.00,,"(3,134.15)","2,134",38.7%,,0,0.00,0,#¡DIV/0!,,,,,,,,,,,,,,,,,,
010500019,PARAGUAS 60CM 43111,ACC. DE MODA,0.33,,21.0%,"6,073.52",10%,"8,910.00","7,363.64",(331.36),0.00,,"(6,073.52)",959,13.0%,,0,0.00,0,#¡DIV/0!,,,,,,,,,,,,,,,,,,
010300020,HUEVERA RECIPIENTE ORGANIZADOR P/24 HUEVOS 50237 372,BAZAR,0.29,,21.0%,"3,688.72",10%,"6,615.00","5,466.94",(246.01),0.00,,"(3,688.72)","1,532",28.0%,,0,0.00,0,#¡DIV/0!,,,,,,,,,,,,,,,,,,
010300021,LUNCHERA TIPO PATO DE PLÁSTICO Y ACERO INOXIDABLE,BAZAR,0.32,,21.0%,"6,652.89",30%,"9,187.50","7,592.98",(341.68),0.00,,"(6,652.89)",598,7.9%,,10,"75,929.75","5,984",7.9%,,,,,,,,,,,,,,,,,,
010300022,"FRASCO DE VIDRIO, TAPA PLATEADA, 800MI 317 PRODUCTO ",BAZAR,0.50,,21.0%,"2,898.65",15%,"5,227.50","4,320.25",(194.41),0.00,,"(2,898.65)","1,227",28.4%,,0,0.00,0,#¡DIV/0!,,,,,,,,,,,,,,,,,,
010300023,"FRASCO DE VIDRIO, TAPA NEGRA, 750MI PRODUCTO ",BAZAR,0.43,,21.0%,"2,803.30",20%,"4,920.00","4,066.12",(182.98),0.00,,"(2,803.30)","1,080",26.6%,,0,0.00,0,#¡DIV/0!,,,,,,,,,,,,,,,,,,
010300024,"FRASCO DE VIDRIO, TAPA NEGRA, 1000ML PRODUCTO ",BAZAR,0.60,,21.0%,"3,365.87",15%,"5,291.25","4,372.93",(196.78),0.00,,"(3,365.87)",810,18.5%,,0,0.00,0,#¡DIV/0!,,,,,,,,,,,,,,,,,,
010600025,ALFOMBRA 40*60CM,HOGAR,0.29,,21.0%,"5,908.27",10%,"8,910.00","7,363.64",(331.36),0.00,,"(5,908.27)","1,124",15.3%,,0,0.00,0,#¡DIV/0!,,,,,,,,,,,,,,,,,,
010300026,"JARRA DE VIDRIO 1,8L 370",BAZAR,0.99,,21.0%,"3,915.61",35%,"4,972.50","4,109.50",(184.93),0.00,,"(3,915.61)",9,0.2%,,0,0.00,0,#¡DIV/0!,,,,,,,,,,,,,,,,,,
